"Time","count(kube_pod_status_phase{phase=""Running"", namespace=""default""})"
2025-12-07 19:13:00,3
2025-12-07 19:13:30,3
2025-12-07 19:14:00,3
2025-12-07 19:14:30,3
2025-12-07 19:15:00,3
2025-12-07 19:15:30,3
2025-12-07 19:16:00,3
2025-12-07 19:16:30,3
2025-12-07 19:17:00,3
2025-12-07 19:17:30,3
2025-12-07 19:18:00,3
2025-12-07 19:18:30,3
2025-12-07 19:19:00,3
2025-12-07 19:19:30,3
2025-12-07 19:20:00,3
2025-12-07 19:20:30,3
2025-12-07 19:21:00,3
2025-12-07 19:21:30,3
2025-12-07 19:22:00,3
2025-12-07 19:22:30,3
2025-12-07 19:23:00,3
2025-12-07 19:23:30,3
2025-12-07 19:24:00,3
2025-12-07 19:24:30,3
2025-12-07 19:25:00,3
2025-12-07 19:25:30,3
2025-12-07 19:26:00,3
2025-12-07 19:26:30,3
2025-12-07 19:27:00,3
2025-12-07 19:27:30,3
2025-12-07 19:28:00,3
2025-12-07 19:28:30,3
2025-12-07 19:29:00,3
2025-12-07 19:29:30,3
2025-12-07 19:30:00,3
2025-12-07 19:30:30,3
2025-12-07 19:31:00,3
2025-12-07 19:31:30,3
2025-12-07 19:32:00,3
2025-12-07 19:32:30,3
2025-12-07 19:33:00,3
2025-12-07 19:33:30,3
2025-12-07 19:34:00,3
2025-12-07 19:34:30,3
2025-12-07 19:35:00,3
2025-12-07 19:35:30,3
2025-12-07 19:36:00,3
2025-12-07 19:36:30,3
2025-12-07 19:37:00,3
2025-12-07 19:37:30,3
2025-12-07 19:38:00,3
2025-12-07 19:38:30,3
2025-12-07 19:39:00,3
2025-12-07 19:39:30,3
2025-12-07 19:40:00,3
2025-12-07 19:40:30,3
2025-12-07 19:41:00,3
2025-12-07 19:41:30,3
2025-12-07 19:42:00,3
2025-12-07 19:42:30,3
2025-12-07 19:43:00,3
2025-12-07 19:43:30,3
2025-12-07 19:44:00,3
2025-12-07 19:44:30,3
2025-12-07 19:45:00,3
2025-12-07 19:45:30,3
2025-12-07 19:46:00,3
2025-12-07 19:46:30,3
2025-12-07 19:47:00,3
2025-12-07 19:47:30,3
2025-12-07 19:48:00,3
2025-12-07 19:48:30,3
2025-12-07 19:49:00,3
2025-12-07 19:49:30,3
2025-12-07 19:50:00,3
2025-12-07 19:50:30,3
2025-12-07 19:51:00,3
2025-12-07 19:51:30,3
2025-12-07 19:52:00,3
2025-12-07 19:52:30,3
2025-12-07 19:53:00,3
2025-12-07 19:53:30,3
2025-12-07 19:54:00,3
2025-12-07 19:54:30,3
2025-12-07 19:55:00,3
2025-12-07 19:55:30,3
2025-12-07 19:56:00,3
2025-12-07 19:56:30,3
2025-12-07 19:57:00,3
2025-12-07 19:57:30,3
2025-12-07 19:58:00,3
2025-12-07 19:58:30,3
2025-12-07 19:59:00,3
2025-12-07 19:59:30,3
2025-12-07 20:00:00,3
2025-12-07 20:00:30,3
2025-12-07 20:01:00,3
2025-12-07 20:01:30,3
2025-12-07 20:02:00,3
2025-12-07 20:02:30,3
2025-12-07 20:03:00,3
2025-12-07 20:03:30,3
2025-12-07 20:04:00,3
2025-12-07 20:04:30,3
2025-12-07 20:05:00,3
2025-12-07 20:05:30,3
2025-12-07 20:06:00,3
2025-12-07 20:06:30,3
2025-12-07 20:07:00,3
2025-12-07 20:07:30,3
2025-12-07 20:08:00,3
2025-12-07 20:08:30,3
2025-12-07 20:09:00,3
2025-12-07 20:09:30,3
2025-12-07 20:10:00,3
2025-12-07 20:10:30,3
2025-12-07 20:11:00,3
2025-12-07 20:11:30,3
2025-12-07 20:12:00,3
2025-12-07 20:12:30,3
2025-12-07 20:13:00,3
2025-12-07 20:13:30,3
2025-12-07 20:14:00,3
2025-12-07 20:14:30,3
2025-12-07 20:15:00,3
2025-12-07 20:15:30,3
2025-12-07 20:16:00,3
2025-12-07 20:16:30,3
2025-12-07 20:17:00,3
2025-12-07 20:17:30,3
2025-12-07 20:18:00,3
2025-12-07 20:18:30,3
2025-12-07 20:19:00,3
2025-12-07 20:19:30,3
2025-12-07 20:20:00,3
2025-12-07 20:20:30,3
2025-12-07 20:21:00,3
2025-12-07 20:21:30,3
2025-12-07 20:22:00,3
2025-12-07 20:22:30,3
2025-12-07 20:23:00,3
2025-12-07 20:23:30,3
2025-12-07 20:24:00,3
2025-12-07 20:24:30,3
2025-12-07 20:25:00,3
2025-12-07 20:25:30,3
2025-12-07 20:26:00,3
2025-12-07 20:26:30,3
2025-12-07 20:27:00,3
2025-12-07 20:27:30,3
2025-12-07 20:28:00,3
2025-12-07 20:28:30,3
2025-12-07 20:29:00,3
2025-12-07 20:29:30,3
2025-12-07 20:30:00,3
2025-12-07 20:30:30,3
2025-12-07 20:31:00,3
2025-12-07 20:31:30,3
2025-12-07 20:32:00,3
2025-12-07 20:32:30,3
2025-12-07 20:33:00,3
2025-12-07 20:33:30,3
2025-12-07 20:34:00,3
2025-12-07 20:34:30,3
2025-12-07 20:35:00,3
2025-12-07 20:35:30,3
2025-12-07 20:36:00,3
2025-12-07 20:36:30,3
2025-12-07 20:37:00,3
2025-12-07 20:37:30,3
2025-12-07 20:38:00,3
2025-12-07 20:38:30,3
2025-12-07 20:39:00,3
2025-12-07 20:39:30,3
2025-12-07 20:40:00,3
2025-12-07 20:40:30,3
2025-12-07 20:41:00,3
2025-12-07 20:41:30,3
2025-12-07 20:42:00,3
2025-12-07 20:42:30,3
2025-12-07 20:43:00,3
2025-12-07 20:43:30,3
2025-12-07 20:44:00,3
2025-12-07 20:44:30,3
2025-12-07 20:45:00,3
2025-12-07 20:45:30,3
2025-12-07 20:46:00,3
2025-12-07 20:46:30,3
2025-12-07 20:47:00,3
2025-12-07 20:47:30,3
2025-12-07 20:48:00,3
2025-12-07 20:48:30,3
2025-12-07 20:49:00,3
2025-12-07 20:49:30,3
2025-12-07 20:50:00,3
2025-12-07 20:50:30,3
2025-12-07 20:51:00,3
2025-12-07 20:51:30,3
2025-12-07 20:52:00,3
2025-12-07 20:52:30,3
2025-12-07 20:53:00,3
2025-12-07 20:53:30,3
2025-12-07 20:54:00,3
2025-12-07 20:54:30,3
2025-12-07 20:55:00,3
2025-12-07 20:55:30,3
2025-12-07 20:56:00,3
2025-12-07 20:56:30,3
2025-12-07 20:57:00,3
2025-12-07 20:57:30,3
2025-12-07 20:58:00,3
2025-12-07 20:58:30,3
2025-12-07 20:59:00,3
2025-12-07 20:59:30,3
2025-12-07 21:00:00,3
2025-12-07 21:00:30,3
2025-12-07 21:01:00,3
2025-12-07 21:01:30,3
2025-12-07 21:02:00,3
2025-12-07 21:02:30,3
2025-12-07 21:03:00,3
2025-12-07 21:03:30,3
2025-12-07 21:04:00,3
2025-12-07 21:04:30,3
2025-12-07 21:05:00,3
2025-12-07 21:05:30,3
2025-12-07 21:06:00,3
2025-12-07 21:06:30,3
2025-12-07 21:07:00,3
2025-12-07 21:07:30,3
2025-12-07 21:08:00,3
2025-12-07 21:08:30,3
2025-12-07 21:09:00,3
2025-12-07 21:09:30,3
2025-12-07 21:10:00,3
2025-12-07 21:10:30,3
2025-12-07 21:11:00,3
2025-12-07 21:11:30,3
2025-12-07 21:12:00,3
2025-12-07 21:12:30,3
2025-12-07 21:13:00,3
2025-12-07 21:13:30,3
2025-12-07 21:14:00,3
2025-12-07 21:14:30,3
2025-12-07 21:15:00,3
2025-12-07 21:15:30,3
2025-12-07 21:16:00,3
2025-12-07 21:16:30,3
2025-12-07 21:17:00,3
2025-12-07 21:17:30,3
2025-12-07 21:18:00,3
2025-12-07 21:18:30,3
2025-12-07 21:19:00,3
2025-12-07 21:19:30,3
2025-12-07 21:20:00,3
2025-12-07 21:20:30,3
2025-12-07 21:21:00,3
2025-12-07 21:21:30,3
2025-12-07 21:22:00,3
2025-12-07 21:22:30,3
2025-12-07 21:23:00,3
2025-12-07 21:23:30,3
2025-12-07 21:24:00,3
2025-12-07 21:24:30,3
2025-12-07 21:25:00,3
2025-12-07 21:25:30,3
2025-12-07 21:26:00,3
2025-12-07 21:26:30,3
2025-12-07 21:27:00,3
2025-12-07 21:27:30,5
2025-12-07 21:28:00,3
2025-12-07 21:28:30,3
2025-12-07 21:29:00,3
2025-12-07 21:29:30,3
2025-12-07 21:30:00,3
2025-12-07 21:30:30,3
2025-12-07 21:31:00,3
2025-12-07 21:31:30,3
2025-12-07 21:32:00,3
2025-12-07 21:32:30,3
2025-12-07 21:33:00,3
2025-12-07 21:33:30,3
2025-12-07 21:34:00,3
2025-12-07 21:34:30,3
2025-12-07 21:35:00,3
2025-12-07 21:35:30,3
2025-12-07 21:36:00,3
2025-12-07 21:36:30,3
2025-12-07 21:37:00,3
2025-12-07 21:37:30,3
2025-12-07 21:38:00,3
2025-12-07 21:38:30,3
2025-12-07 21:39:00,3
2025-12-07 21:39:30,3
2025-12-07 21:40:00,3
2025-12-07 21:40:30,3
